score,votes,runtime,budget,gross,movie_status
6.9,6900.0,95.0,,4786789.0,Flop
6.0,7500.0,96.0,6500000.0,4300000.0,Flop
7.5,115000.0,107.0,9000000.0,14949697.0,Flop
8.1,24000.0,125.0,,55269.0,Flop
5.0,3200.0,96.0,,20307325.0,Flop
3.5,8200.0,85.0,,5678950.0,Flop
4.6,4600.0,80.0,457000.0,11919250.0,Hit
5.0,11000.0,98.0,6500000.0,33759266.0,Hit
6.8,8600.0,95.0,19000000.0,8400000.0,Flop
7.4,9700.0,92.0,,8443124.0,Flop
6.7,6000.0,103.0,12000000.0,6472990.0,Flop
6.7,13000.0,128.0,15000000.0,15856028.0,Flop
6.3,11000.0,107.0,5000000.0,12232628.0,Hit
6.3,8200.0,95.0,,29309766.0,Flop
7.3,16000.0,123.0,,2306560.0,Flop
4.9,4200.0,100.0,7000000.0,1246141.0,Flop
4.7,3000.0,80.0,800000.0,2082215.0,Hit
6.4,11000.0,106.0,15000000.0,10219460.0,Flop
6.4,25000.0,93.0,,10353438.0,Flop
5.7,2900.0,94.0,3000000.0,17488564.0,Hit
6.3,7200.0,101.0,4520000.0,7175592.0,Flop
6.4,9300.0,105.0,14500000.0,30503151.0,Hit
5.2,5400.0,89.0,,10375893.0,Flop
5.2,1900.0,93.0,250000.0,4319001.0,Hit
4.9,3700.0,96.0,,13000000.0,Flop
5.0,1500.0,111.0,25000000.0,1402962.0,Flop
4.7,3900.0,88.0,14000000.0,23646952.0,Flop
5.0,2100.0,95.0,1250000.0,6149983.0,Hit
5.5,5500.0,90.0,14400000.0,16478265.0,Flop
6.1,5100.0,105.0,19000000.0,28445927.0,Flop
7.5,7800.0,105.0,,29600000.0,Flop
7.1,3300.0,112.0,,694497.0,Flop
6.5,3400.0,77.0,8000000.0,30379.0,Flop
4.0,3600.0,98.0,2500000.0,10676194.0,Hit
7.2,13000.0,110.0,,14648076.0,Flop
4.3,1200.0,83.0,,5563663.0,Flop
7.0,7200.0,128.0,9500000.0,5696391.0,Flop
4.1,6000.0,105.0,6000000.0,6333135.0,Flop
7.0,5800.0,90.0,,2044892.0,Flop
5.9,8200.0,103.0,6500000.0,6486797.0,Flop
6.1,4700.0,90.0,700000.0,13168027.0,Hit
7.7,41000.0,79.0,,11798616.0,Flop
6.5,458.0,110.0,,,Flop
4.6,2300.0,89.0,,,Flop
6.8,10000.0,107.0,9000000.0,13030214.0,Flop
6.0,3100.0,130.0,,123572.0,Flop
4.7,1100.0,98.0,8000000.0,724912.0,Flop
5.6,7400.0,91.0,,15543710.0,Flop
4.4,2900.0,88.0,,2810199.0,Flop
6.1,2900.0,88.0,4000000.0,1080470.0,Flop
4.3,5700.0,109.0,11000000.0,4491986.0,Flop
5.5,4400.0,100.0,8000000.0,16134627.0,Hit
5.7,1200.0,104.0,11800000.0,5997566.0,Flop
5.8,4700.0,103.0,12000000.0,14000000.0,Flop
3.0,938.0,92.0,5000000.0,1223200.0,Flop
6.3,6500.0,109.0,,5555305.0,Flop
7.6,4900.0,118.0,,5310748.0,Flop
6.6,2600.0,102.0,,11787127.0,Flop
7.0,1700.0,127.0,,,Flop
5.3,2200.0,110.0,19000000.0,10964740.0,Flop
5.8,3000.0,99.0,6000000.0,6670680.0,Flop
4.6,3600.0,99.0,10000000.0,10369581.0,Flop
5.7,1100.0,95.0,5000000.0,1262691.0,Flop
6.6,3300.0,98.0,,17613720.0,Flop
4.9,2100.0,101.0,,6347072.0,Flop
6.3,1700.0,105.0,3000000.0,1867792.0,Flop
6.6,1600.0,130.0,,1772889.0,Flop
5.2,1700.0,85.0,,,Flop
6.6,1200.0,130.0,,687475.0,Flop
6.7,1300.0,113.0,,272278.0,Flop
5.9,701.0,88.0,550000.0,5269990.0,Hit
6.7,1100.0,92.0,5500000.0,1645711.0,Flop
6.2,2100.0,99.0,12000000.0,1963756.0,Flop
5.5,2700.0,94.0,,1362303.0,Flop
6.0,2100.0,103.0,,12049514.0,Flop
3.8,1600.0,84.0,,5301085.0,Flop
3.7,208.0,96.0,220000.0,975414.0,Hit
6.8,1600.0,110.0,300000.0,1530839.0,Hit
5.8,115.0,89.0,,,Flop
5.2,747.0,95.0,10100000.0,10171304.0,Flop
6.7,659.0,106.0,8000000.0,3000000.0,Flop
5.1,786.0,100.0,,1818910.0,Flop
5.3,456.0,91.0,5000000.0,4304286.0,Flop
4.3,617.0,86.0,,1723487.0,Flop
3.8,513.0,111.0,,2443487.0,Flop
6.1,681.0,122.0,,2439705.0,Flop
5.2,786.0,103.0,,6857733.0,Flop
4.7,460.0,105.0,,,Flop
6.1,368.0,99.0,,2314561.0,Flop
6.3,661.0,111.0,,,Flop
4.9,360.0,89.0,,108128.0,Flop
6.0,235.0,92.0,100000.0,,Flop
7.3,2200.0,83.0,,16156776.0,Flop
4.9,300.0,95.0,3000000.0,,Flop
7.2,826.0,115.0,50000.0,26177.0,Flop
5.4,169.0,96.0,,,Flop
4.5,131.0,92.0,,,Flop
5.4,182.0,95.0,2500000.0,,Flop
5.0,275.0,80.0,3000.0,,Flop
6.7,51.0,84.0,,,Flop
5.3,313.0,94.0,,6666725.0,Flop
8.3,79.0,55.0,323562.0,,Flop
8.0,812000.0,107.0,6400000.0,78371200.0,Hit
6.5,132000.0,137.0,40000000.0,30925690.0,Flop
7.8,365000.0,105.0,30000000.0,296187079.0,Hit
7.3,205000.0,126.0,8000000.0,91119319.0,Hit
8.4,321000.0,229.0,30000000.0,5473212.0,Flop
6.7,118000.0,96.0,4500000.0,81198894.0,Hit
7.5,459000.0,118.0,28000000.0,333107271.0,Hit
6.8,30000.0,114.0,10000000.0,8801940.0,Flop
7.5,212000.0,91.0,1800000.0,25507137.0,Hit
8.3,377000.0,160.0,18000000.0,52066791.0,Hit
7.3,171000.0,105.0,14000000.0,316360478.0,Hit
6.4,53000.0,114.0,17000000.0,38376497.0,Hit
7.4,135000.0,102.0,27000000.0,20251411.0,Flop
6.6,73000.0,107.0,8200000.0,80039064.0,Hit
6.6,50000.0,90.0,8000000.0,40874452.0,Hit
7.3,204000.0,106.0,11000000.0,153633143.0,Hit
6.9,86000.0,106.0,10000000.0,86572238.0,Hit
6.7,19000.0,93.0,14500000.0,8089290.0,Flop
7.0,108000.0,93.0,6500000.0,23686027.0,Hit
8.1,96000.0,145.0,,2207548.0,Flop
7.9,132000.0,82.0,2500000.0,4736202.0,Flop
7.1,68000.0,113.0,,8430492.0,Flop
7.2,62000.0,90.0,9000000.0,20458340.0,Hit
5.9,77000.0,103.0,18000000.0,31042035.0,Flop
5.6,49000.0,92.0,800000.0,14568989.0,Hit
6.8,39000.0,101.0,15000000.0,28733290.0,Flop
6.3,71000.0,111.0,8000000.0,69821334.0,Hit
7.6,91000.0,99.0,1500000.0,4228292.0,Hit
7.5,46000.0,138.0,28000000.0,47951979.0,Flop
6.3,36000.0,105.0,5000000.0,38435947.0,Hit
8.1,157000.0,117.0,1000000.0,8736506.0,Hit
6.0,47000.0,91.0,2600000.0,32980880.0,Hit
4.9,3200.0,88.0,,7121719.0,Flop
5.9,11000.0,128.0,13000000.0,21689062.0,Flop
4.4,19000.0,124.0,35000000.0,14296438.0,Flop
7.0,25000.0,132.0,25000000.0,8613462.0,Flop
6.1,30000.0,114.0,15000000.0,17080167.0,Flop
5.6,11000.0,88.0,1250000.0,4654423.0,Hit
6.0,15000.0,87.0,9000000.0,25348610.0,Hit
5.9,12000.0,99.0,,6770587.0,Flop
6.4,25000.0,103.0,,6254148.0,Flop
6.7,76000.0,105.0,17000000.0,76471046.0,Hit
6.9,35000.0,92.0,1500000.0,129000.0,Flop
6.8,50000.0,116.0,28000000.0,40400657.0,Flop
7.8,53000.0,141.0,14400000.0,34700291.0,Hit
6.5,17000.0,127.0,58000000.0,25928721.0,Flop
7.0,44000.0,115.0,22000000.0,28744356.0,Flop
6.4,19000.0,95.0,700000.0,14418922.0,Hit
5.8,10000.0,100.0,,18644570.0,Flop
6.3,14000.0,99.0,,12145169.0,Flop
6.4,6600.0,107.0,,2912945.0,Flop
6.1,15000.0,102.0,21000000.0,8103330.0,Flop
